id,zone_id,name,geometry,operator,lon,lat
107,1877,Nana African Market,POINT (-104.8689193 39.6754327),,-104.8689193,39.6754327
108,1877,Aladdin Market,POINT (-104.8674979 39.6754658),,-104.8674979,39.6754658
109,1878,International Market,POINT (-104.8763133 39.6797003),,-104.8763133,39.6797003
110,1872,Diyar International Market,POINT (-104.8738449 39.6764836),,-104.8738449,39.6764836
111,1879,Zamzam Halal International Market & Deli,POINT (-104.9021006 39.6770588),,-104.9021006,39.6770588
112,1879,Family Dollar (CLOSED),POINT (-104.9015346 39.6762557),,-104.9015346,39.6762557
113,1879,Arabic Market,POINT (-104.9029003 39.675561),,-104.9029003,39.675561
114,1879,Carcineria El Jakalito,POINT (-104.9032235 39.675401),,-104.9032235,39.675401
115,1662,Safeway,POINT (-104.9148726 39.666444),,-104.9148726,39.666444
116,1357,Safeway Food & Drug,POINT (-104.9775238 39.7489053),,-104.9775238,39.7489053
117,1367,Sprouts Farmers Market,POINT (-104.9444921 39.7404516),,-104.9444921,39.7404516
118,1509,Whole Foods Market,POINT (-104.9579078 39.7186973),Whole Foods,-104.9579078,39.7186973
119,1372,Marczyk Fine Foods,POINT (-104.9780485 39.7430196),,-104.9780485,39.7430196
120,1492,Natural Grocers,POINT (-104.9792562 39.739385),,-104.9792562,39.739385
121,1503,King Soopers,POINT (-104.9735305 39.731112),,-104.9735305,39.731112
122,1501,Whole Foods Market,POINT (-104.9758636 39.7332273),,-104.9758636,39.7332273
123,1502,Tony's Market,POINT (-104.9871755 39.7314702),,-104.9871755,39.7314702
124,1342,Downing Super,POINT (-104.9725828 39.7640013),,-104.9725828,39.7640013
125,13,Mountain People's Co-op,POINT (-105.5097203 39.961775),,-105.5097203,39.961775
126,13,B&F Mountain Market,POINT (-105.5087547 39.9602331),,-105.5087547,39.9602331
127,166,Safeway Grocery Store,POINT (-105.1295217 40.1879657),,-105.1295217,40.1879657
128,193,Sprouts,POINT (-105.133275 40.1459304),,-105.133275,40.1459304
129,442,King Soopers,POINT (-105.0983229 39.8767324),,-105.0983229,39.8767324
130,225,King Soopers,POINT (-105.1245727 39.9883519),,-105.1245727,39.9883519
131,212,,POINT (-105.1051606 40.0053879),Walmart,-105.1051606,40.0053879
132,325,King Soopers,POINT (-105.2514653 39.9834044),,-105.2514653,39.9834044
133,311,Safeway,POINT (-105.2344308 39.9982083),,-105.2344308,39.9982083
134,352,Safeway,POINT (-105.260168 40.0351786),Safeway,-105.260168,40.0351786
135,308,Sprouts Farmers Market,POINT (-105.2543453 39.9992866),,-105.2543453,39.9992866
136,382,Whole Foods Market,POINT (-105.255938 40.0240242),,-105.255938,40.0240242
137,368,Ideal Market,POINT (-105.2808216 40.0260276),,-105.2808216,40.0260276
138,341,Lucky's Market,POINT (-105.2810205 40.0474961),,-105.2810205,40.0474961
139,287,University Hill Market & Deli,POINT (-105.2760614 40.0080103),,-105.2760614,40.0080103
140,306,Whole Foods,POINT (-105.2610465 39.9992899),,-105.2610465,39.9992899
141,306,Goodwill,POINT (-105.2619294 39.9986037),,-105.2619294,39.9986037
142,376,Penzys Spices,POINT (-105.2795314 40.0181295),,-105.2795314,40.0181295
143,394,Sprouts Farmers Market,POINT (-105.2609983 40.0158767),,-105.2609983,40.0158767
144,353,,POINT (-105.2559452 40.0352772),Albertsons,-105.2559452,40.0352772
145,50,King Soopers,POINT (-105.2008549 40.071882),,-105.2008549,40.071882
146,246,Vitamin Cottage,POINT (-105.0912574 39.9863629),,-105.0912574,39.9863629
147,1026,Vitamin World,POINT (-104.9782239 39.9136867),,-104.9782239,39.9136867
148,454,Wal-Mart Supercenter,POINT (-105.0566917 39.868013),,-105.0566917,39.868013
149,454,Whole Foods,POINT (-105.0548462 39.8649435),,-105.0548462,39.8649435
150,1071,Hmart,POINT (-105.051507 39.8624579),,-105.051507,39.8624579
151,1037,Sprouts,POINT (-105.0507693 39.9124305),,-105.0507693,39.9124305
152,439,Safeway,POINT (-105.0933054 39.8806589),,-105.0933054,39.8806589
153,1078,King Soopers,POINT (-105.0047088 39.8503877),,-105.0047088,39.8503877
154,222,Sprouts Farmers Market,POINT (-105.0962299 39.9886443),,-105.0962299,39.9886443
155,894,King Soopers,POINT (-104.9378994 39.9446405),,-104.9378994,39.9446405
156,1022,Safeway,POINT (-104.9415557 39.9122708),,-104.9415557,39.9122708
157,1012,King Soopers,POINT (-104.9435706 39.9147961),,-104.9435706,39.9147961
158,1098,King Soopers,POINT (-104.9758336 39.8838714),,-104.9758336,39.8838714
159,1096,Sams Club,POINT (-104.9836489 39.8717517),,-104.9836489,39.8717517
160,1108,Safeway,POINT (-104.9759327 39.8724434),,-104.9759327,39.8724434
161,114,Safeway,POINT (-105.0719349 40.1872356),,-105.0719349,40.1872356
162,120,King Soopers,POINT (-105.0759475 40.1865635),,-105.0759475,40.1865635
163,2780,Walmart,POINT (-104.6233506 39.3603997),,-104.6233506,39.3603997
164,2779,Safeway,POINT (-104.6099377 39.3600306),,-104.6099377,39.3600306
165,2011,King Soopers Marketplace,POINT (-104.6874729 39.5876754),,-104.6874729,39.5876754
166,2504,Office Depot,POINT (-104.7654106 39.5117342),,-104.7654106,39.5117342
167,2504,PetSmart,POINT (-104.7648264 39.5116254),,-104.7648264,39.5116254
168,2043,Safeway,POINT (-104.769674 39.6512994),,-104.769674,39.6512994
169,2029,King Soopers,POINT (-104.7761461 39.6550819),,-104.7761461,39.6550819
170,2018,,POINT (-104.7888955 39.6947981),,-104.7888955,39.6947981
171,2027,King Soopers,POINT (-104.7897631 39.6718196),,-104.7897631,39.6718196
172,2052,King Soopers,POINT (-104.8109678 39.6951053),,-104.8109678,39.6951053
173,1934,African Shop,POINT (-104.8241952 39.7045938),,-104.8241952,39.7045938
174,1206,Walmart Supercenter,POINT (-104.7736292 39.7615957),,-104.7736292,39.7615957
175,1230,,POINT (-104.8123663 39.7416461),,-104.8123663,39.7416461
